id,name,position,value,club,club_abr,club_prev,country,popularity,points_prev,status,round,opponent,time,goals,assists,own_goal,penalty,penalty_won,penalty_given,penalty_lost,penalty_defended,in_stat,yellow_card,red_card,points
1524,Dawid Abramowicz, Obronca,"1,80",Wisla Krakow,WIS,Radomiak Radom,Polska,0, 34,out of club,15,PIA,0,0,0,0,0,0,0,0,0,,0,0,0
1524,Dawid Abramowicz, Obronca,"1,80",Wisla Krakow,WIS,Radomiak Radom,Polska,0, 34,out of club,16,JAG,0,0,0,0,0,0,0,0,0,,0,0,0
1524,Dawid Abramowicz, Obronca,"1,80",Wisla Krakow,WIS,Radomiak Radom,Polska,0, 34,out of club,17,SLA,0,0,0,0,0,0,0,0,0,,0,0,0
1524,Dawid Abramowicz, Obronca,"1,80",Wisla Krakow,WIS,Radomiak Radom,Polska,0, 34,out of club,18,POG,0,0,0,0,0,0,0,0,0,,0,0,0
1524,Dawid Abramowicz, Obronca,"1,80",Wisla Krakow,WIS,Radomiak Radom,Polska,0, 34,out of club,19,WPL,0,0,0,0,0,0,0,0,0,,0,0,0
1524,Dawid Abramowicz, Obronca,"1,80",Wisla Krakow,WIS,Radomiak Radom,Polska,0, 34,out of club,20,GOR,0,0,0,0,0,0,0,0,0,,0,0,0
1524,Dawid Abramowicz, Obronca,"1,80",Wisla Krakow,WIS,Radomiak Radom,Polska,0, 34,out of club,21,LGD,0,0,0,0,0,0,0,0,0,,0,0,0
1524,Dawid Abramowicz, Obronca,"1,80",Wisla Krakow,WIS,Radomiak Radom,Polska,0, 34,out of club,22,STM,0,0,0,0,0,0,0,0,0,,0,0,0
1524,Dawid Abramowicz, Obronca,"1,80",Wisla Krakow,WIS,Radomiak Radom,Polska,0, 34,out of club,23,POD,0,0,0,0,0,0,0,0,0,,0,0,0
1524,Dawid Abramowicz, Obronca,"1,80",Wisla Krakow,WIS,Radomiak Radom,Polska,0, 34,out of club,24,RCZ,0,0,0,0,0,0,0,0,0,,0,0,0
1524,Dawid Abramowicz, Obronca,"1,80",Wisla Krakow,WIS,Radomiak Radom,Polska,0, 34,out of club,25,WAR,0,0,0,0,0,0,0,0,0,,0,0,0
1524,Dawid Abramowicz, Obronca,"1,80",Wisla Krakow,WIS,Radomiak Radom,Polska,0, 34,out of club,26,ZAG,0,0,0,0,0,0,0,0,0,,0,0,0
1524,Dawid Abramowicz, Obronca,"1,80",Wisla Krakow,WIS,Radomiak Radom,Polska,0, 34,out of club,27,CRA,0,0,0,0,0,0,0,0,0,,0,0,0
1524,Dawid Abramowicz, Obronca,"1,80",Wisla Krakow,WIS,Radomiak Radom,Polska,0, 34,out of club,28,LEG,0,0,0,0,0,0,0,0,0,,0,0,0
1524,Dawid Abramowicz, Obronca,"1,80",Wisla Krakow,WIS,Radomiak Radom,Polska,0, 34,out of club,29,LPO,0,0,0,0,0,0,0,0,0,,0,0,0
1524,Dawid Abramowicz, Obronca,"1,80",Wisla Krakow,WIS,Radomiak Radom,Polska,0, 34,out of club,30,PIA,0,0,0,0,0,0,0,0,0,,0,0,0
15,Hubert Adamczyk, Pomocnik,"1,60",Wisla Plock,WPL,GKS Tychy,Polska,0, 7,injury,15,ZAG,0,0,0,0,0,0,0,0,0,,0,0,0
15,Hubert Adamczyk, Pomocnik,"1,60",Wisla Plock,WPL,GKS Tychy,Polska,0, 7,injury,16,STM,0,0,0,0,0,0,0,0,0,,0,0,0
15,Hubert Adamczyk, Pomocnik,"1,60",Wisla Plock,WPL,GKS Tychy,Polska,0, 7,injury,17,LPO,0,0,0,0,0,0,0,0,0,,0,0,0
