id,name,position,club,value,points,type,captain
1724,Vladan Kovacevic ,1,13,2.1,59,first,no
1573,Antonio Milic ,2,6,2.2,71,first,no
1712,Joel Pereira ,2,6,2.1,58,first,no
553,Jakub Bartkowski ,2,11,2.1,56,first,no
1524,Dawid Abramowicz ,2,12,2.0,64,first,no
480,Bartosz Nowak ,3,4,2.1,64,first,no
633,Mateusz Wdowiak ,3,13,2.1,68,first,no
1539,Ivan Lopez ,3,13,3.7,89,first,yes
1128,Patryk Szysz ,3,18,2.3,67,first,no
722,Karol Angielski ,4,12,2.3,59,first,no
1616,Adam Zrelak ,4,15,1.9,58,first,no
1358,Krzysztof Kaminski ,1,17,1.7,54,sub,no
1614,Milosz Matysik ,2,5,0.6,20,sub,no
1589,Lukasz Lakomy ,3,18,0.7,32,sub,no
1755,Muris Mesanovic ,4,1,2.0,50,sub,no
